,occured,city,state,country,shape,summary,reported,posted,image
117,12/06/2023 14:00,San Diego,CA,USA,Diamond,Witnessed object that appeared to be rotating and either reflecting light or flashing bright light. Easier to share the video.,12/06/2023,12/09/2023,Y
118,12/04/2023 22:00,Dunkirk,IN,USA,Circle,"No sound, projected several bright beams of light from round circle of light into woods onto the ground.",12/06/2023,12/09/2023,
119,12/06/2023 19:45,Red Lion,PA,USA,Light,This is the second sighting of this object in the same location. It appears as a white pulsating light,12/06/2023,12/09/2023,Y
120,12/04/2023 22:45,Corinth,NY,USA,Flash,Mechanical light from Def UAP,12/06/2023,12/09/2023,
121,12/05/2023 17:55,Payson,AZ,USA,Triangle,"I saw a triangular shaped craft while driving through Payson, AZ.",12/06/2023,12/09/2023,
122,12/05/2023 17:25,Saint Paul,KS,USA,Orb,"This was the earliest I've seen one out. Sun was still setting. It was before 5:30,only star out was Venus or mercury.",12/07/2023,12/09/2023,Y
123,12/07/2023 11:05,Columbus,OH,USA,Orb,Another glowing white orb passing over my house,12/07/2023,12/09/2023,Y
124,12/02/2023 17:30,Haverhill,MA,USA,Orb,"Multiple unidentifiable points of lights observed both stationary and traveling in the night sky unlike meteor shower or Starlink, poss",12/07/2023,12/09/2023,
125,12/07/2023 18:00,Mill Valley,CA,USA,Unknown,Series of green bird shaped ufo's moving in a line quickly accross the sky and disappearing.,12/07/2023,12/09/2023,
126,12/07/2023 22:12,Honea Path,SC,USA,Disk,"This craft was soundless, seemed to float extremely quickly across sky as if it was water",12/07/2023,12/09/2023,
127,12/07/2023 00:00,Roberts,WI,USA,Triangle,Silent craft with 9 flashing lights was seen on a clear night before the clouds interrupted visibility.,12/07/2023,12/09/2023,
128,12/07/2023 23:27,Gig Harbor,WA,USA,Changing,"We spotted a bright blinking object in the sky, it did not appear to be moving but was chain thing colors and pulsating rapidly.",12/07/2023,12/09/2023,Y
129,12/07/2023 20:40,Fairfax,MO,USA,Light,Orange lights seen ascending up from great height,12/08/2023,12/09/2023,
130,12/08/2023 04:29,Lawrence,KS,USA,Orb,I’ve seen it before but never recorded it. Pulsing orb with “solar flares” coming from it. Hovers for 15-20 mins then disappears.,12/08/2023,12/09/2023,Y
131,12/07/2023 12:33,Memphis,TN,USA,Fireball,There was a light beam in the tree emitting a fireball to the ground,12/08/2023,12/09/2023,Y
132,12/07/2023 20:09,Wellfleet,MA,USA,Light,Bright lights changing in intensity,12/08/2023,12/09/2023,Y
133,12/08/2023 04:11,Macomb,MI,USA,Egg,"Caught on Ring camera, invisible to naked eye",12/08/2023,12/09/2023,
134,12/08/2023 20:00,Pittsburgh,PA,USA,Chevron,"My husband and I saw and took a video of a very large, chevron shaped craft with a straight row of lights across the back center.",12/08/2023,12/09/2023,Y
135,12/07/2023 21:50,Martinsville,VA,USA,Circle,I viewed the anomaly for about 30 minutes after work and it wasn’t there tonight,12/08/2023,12/09/2023,Y
136,12/08/2023 19:30,Kingston,TN,USA,Orb,5 second pulsating light low altitude moving steady and fast,12/09/2023,12/09/2023,
137,12/08/2023 16:40,Fitchburg,MA,USA,Light,Saw a non blinking moving light while driving with a possible smaller light descending from it,12/10/2023,12/20/2023,Y
138,12/10/2023 17:14,Scottsdale,AZ,USA,Circle,"Possibly drone, but very high altitude",12/10/2023,12/20/2023,Y
139,12/11/2023 05:00,Fareham,England,United Kingdom,Unknown,Saw something moving in the sky,12/11/2023,12/20/2023,Y
140,12/10/2023 22:50,Paragould,AR,USA,Light,4 bright lights changing up coordinations,12/10/2023,12/20/2023,
141,12/08/2023 21:00,Lowell,MI,USA,Disk,Greyish disc with two bright white lights one on each side on front circumference and multi colored red green lights,12/11/2023,12/20/2023,Y
142,12/08/2023 17:30,West Goshen Township,PA,USA,Orb,Amber light. High altitude,12/11/2023,12/20/2023,
143,12/06/2023 23:50,Pearland,TX,USA,Flash,"Whille stargazing with nitevision monocular, spotted a curious flashing light that had a pattern to it, wasnt a plane, satellite, meteo",12/11/2023,12/20/2023,Y
144,12/11/2023 06:53,San Leandro,CA,USA,Circle,Object traveling very fast doing sprials and zig zagging across the sky,12/11/2023,12/20/2023,Y
145,12/11/2023 17:31,Barcelona,Catalunya,Spain,Other,I have a series of videos with weird shapeshifting objects. This one seems massive though,12/11/2023,12/20/2023,Y
146,12/11/2023 16:45,Morro Bay,CA,USA,Chevron,An object moving through the sky then disappearing,12/11/2023,12/20/2023,
147,12/11/2023 21:08,Seffner,FL,USA,Triangle,They kept flying zig zag and when I pointed a laser at it it disappears and reappears,12/11/2023,12/20/2023,
148,12/11/2023 21:50,Bassett,VA,USA,Circle,"I saw an object move very strangely and I did not notice lights on it and it stopped and then moved, several times.",12/11/2023,12/20/2023,Y
149,12/11/2023 14:14,Litchfield,SC,USA,Unknown,Object flying in many directions,12/11/2023,12/20/2023,
150,12/11/2023 17:45,Sacramento,CA,USA,Changing,Object originally appeared yellow white light in a stick shape then turned to a cross shape and then bluish white blinking lights,12/12/2023,12/20/2023,
151,12/11/2023 18:30,Chester,England,United Kingdom,Star,I saw what looked like a star moving across the sky but it was flashing as it moved then it disappeared. It was pulsating.,12/12/2023,12/20/2023,
152,12/12/2023 05:30,TATAMY Borough,PA,USA,Circle,Flash then light,12/12/2023,12/20/2023,
153,12/12/2023 17:06,Ocala,FL,USA,Orb,"Bright, slightly shape shifting orb",12/12/2023,12/20/2023,Y
154,12/12/2023 20:15,West Harrison,IN,USA,Unknown,Fast moving object with glittering trail,12/12/2023,12/20/2023,
155,12/12/2023 23:22,Austin,TX,USA,Orb,Three white lights behind the clouds in triangular formation zipping around in random order,12/12/2023,12/20/2023,
156,12/11/2023 22:36,Alexandria,VA,USA,Sphere,Ball of bright light no noise softball flew over house. It had a tail. Too low tl be comet it was 25ft above the ground,12/13/2023,12/20/2023,
157,12/12/2023 05:45,Greenville,MS,USA,Unknown,Two red blinking lights that moved down,12/13/2023,12/20/2023,
158,12/13/2023 15:34,Benson,NC,USA,Disk,Driving up Raleigh road turning right. Right on to Zack's mill road. We saw what look like the planet Saturn. In front of our vehicle.,12/13/2023,12/20/2023,
159,12/09/2023 04:21,Moore Haven,FL,USA,Other,It was like an oval shape but bigger on one side with jagged edges.,12/14/2023,12/20/2023,
160,12/13/2023 23:00,Greensboro,NC,USA,Orb,"AM sighting of a bright intense light that was hovering over tree line and a PM sighting with 2 crafts of the same ""look"".",12/14/2023,12/20/2023,Y
161,12/14/2023 16:38,Smiths Station,AL,USA,Other,Two fireballs next to each other seeming to not be separated,12/14/2023,12/20/2023,Y
162,12/14/2023 19:50,Myrtle Beach,SC,USA,Fireball,"Observed amber lights dancing in the sky with a green drone, creating a mesmerizing cosmic scene for 5 minutes.",12/14/2023,12/20/2023,Y
163,12/09/2023 18:42,Brooklyn,NY,USA,Orb,My son told me there were lights in the sky so I came to look. We saw 9 objects in the sky that disappeared into the clouds.,12/14/2023,12/20/2023,Y
164,12/14/2023 20:00,Fort Wayne,IN,USA,Orb,Horizontal bight light,12/14/2023,12/20/2023,
165,12/13/2023 04:18,Almont,MI,USA,Light,"Lights in the sky appearing, moving around, and then disappearing",12/14/2023,12/20/2023,Y
166,12/14/2023 19:15,Oxnard,CA,USA,Triangle,Immediately discounted normal aircraft and birds.,12/14/2023,12/20/2023,
167,12/14/2023 19:45,Pawleys Island,SC,USA,Triangle,4-5 orange solid lights arranged in a triangle shape,12/14/2023,12/20/2023,
168,12/15/2023 23:45,Capac,MI,USA,Light,"Saw a horseshoe shaped orange light with blue center hovering, it turned 180° on its axis and sped off gaining altitude",12/14/2023,12/20/2023,
169,12/14/2023 23:05,Batesville,IN,USA,Flash,"No trails eyes couldn’t track seemingly instant, Appearing in/out in complete opposite initial trajectory Curving around while doing so",12/14/2023,12/20/2023,Y
170,12/07/2023 19:20,Rehoboth Beach,DE,USA,Rectangle,"Took my dog out, noticed some objects in the sky that did not look natural, took a video, immediately said to my son I just saw ET.",12/15/2023,12/20/2023,Y
171,12/15/2023 05:32,Ottawa,ON,Canada,Unknown,Mom and I notice a white light moving with irregular patterns in the sky.,12/15/2023,12/20/2023,
172,12/14/2023 18:00,Harleysville,PA,USA,Sphere,Spherical object moving with bright flashing lights,12/15/2023,12/20/2023,Y
173,12/14/2023 23:12,Smiths Creek,MI,USA,Circle,Multicolor craft seen over tree line in front of Michigan home.,12/15/2023,12/20/2023,
174,12/14/2023 22:45,Brownstown Charter Township,MI,USA,Unknown,Very bright multi colored pulsating irregular shaped stationary object or light,12/15/2023,12/20/2023,Y
175,12/15/2023 22:00,Sunbright,TN,USA,Changing,This has been happening for a week on a regular basis. It's like nothing I've ever seen and my son in law was USAF stationed on area 52,12/15/2023,12/20/2023,
176,12/16/2023 02:10,Tunkhannock,PA,USA,Flash,I saw a bright blue flash in the Eastern sky. 2 other people saw it as well.,12/16/2023,12/20/2023,
177,12/16/2023 15:30,Reading,PA,USA,Disk,Definitely caught my attention never seen something like that and flying in that matter plus as metallic glowing some think I’m crazy.,12/16/2023,12/20/2023,Y
178,12/15/2023 04:11,Parks,AZ,USA,Unknown,A huge see-through dark object appeared in one of my photos during an all-night time lapse I was doing.,12/16/2023,12/20/2023,Y
179,12/16/2023 21:08,Tacoma,WA,USA,Orb,5 or 6 linked orbs descending,12/16/2023,12/20/2023,
180,12/17/2023 05:10,Lynnwood,WA,USA,Triangle,"Seen a huge black boomerang shaped craft flying low from east to west , very little sound",12/17/2023,12/20/2023,Y
181,12/16/2023 18:00,Harrison,NY,USA,Circle,"I was driving on I-684, I saw it coming towards me so I looked up,It flew over my car, I looked at it, It didn't appear to have wings.",12/17/2023,12/20/2023,
182,12/17/2023 19:05,Alton,England,United Kingdom,Light,Light in sky moving erraticly,12/17/2023,12/20/2023,
183,12/13/2023 18:20,Alfreton,England,United Kingdom,Light,Lights appearing and disappearing,12/17/2023,12/20/2023,
184,12/15/2023 13:32,Buena Vista,GA,USA,Unknown,Something small is burning; black smoking air,12/17/2023,12/20/2023,Y
185,12/14/2023 17:40,Fingerville,SC,USA,Light,"Light was observed, likely stationary then it just extinguished and disappeared",12/17/2023,12/20/2023,
186,12/14/2023 07:41,Chicago,IL,USA,Triangle,I saw a line cloud descending from space as far as I could see and I couldn’t recognize the object I assumed it was space junk falling,12/17/2023,12/20/2023,Y
187,12/18/2023 13:22,Mueang Chiang Rai,Chiang Rai,Thailand,Changing,Five flying objects on the sky.,12/17/2023,12/20/2023,
188,12/16/2023 18:15,Cabot,AR,USA,Orb,There was no real pattern in the movements other than being in 2’s.,12/18/2023,12/20/2023,Y
