,city,state,count,population,lat,lng,per_capita
25287,EVANSVILLE,IN,103,203661.0,37.9881,-87.5341,0.0005057423856310241
25390,LONGMONT,CO,102,101642.0,40.1686,-105.1005,0.0010035221660337262
25594,COLUMBIA,MO,101,142637.0,38.9472,-92.3268,0.0007080911684906441
25695,ANAHEIM,CA,101,347111.0,33.839,-117.8574,0.00029097320453687727
25796,TOLEDO,OH,100,493302.0,41.6638,-83.5827,0.00020271557788129787
25896,SEDONA,AZ,97,9739.0,34.8581,-111.7941,0.009959954820823493
25993,SYRACUSE,NY,96,410732.0,43.0407,-76.1437,0.00023372904959925207
26089,BEAVERTON,OR,96,97554.0,45.4779,-122.8168,0.0009840703610308136
26185,PUYALLUP,WA,96,42610.0,47.1793,-122.2902,0.0022529922553391223
26281,FORT MYERS,FL,95,88699.0,26.6194,-81.8302,0.001071038004938049
26376,PALM SPRINGS,CA,95,44935.0,33.8017,-116.5382,0.0021141649048625794
26471,IRVINE,CA,94,304527.0,33.6772,-117.7738,0.00030867542122701763
26565,CORPUS CHRISTI,TX,93,337230.0,27.7254,-97.3767,0.00027577617649675296
26658,WEST PALM BEACH,FL,93,117588.0,26.7469,-80.132,0.0007908970303092152
26751,JONESBORO,AR,92,78379.0,35.8212,-90.6791,0.0011737837941285293
26843,LAS CRUCES,NM,92,140915.0,32.3265,-106.7893,0.0006528758471418941
26935,OAKLAND,CA,92,437825.0,37.7904,-122.2166,0.00021012961799805858
27027,OCALA,FL,91,186840.0,29.178,-82.1511,0.0004870477413830015
27118,EL CAJON,CA,91,105721.0,32.8017,-116.9604,0.0008607561411640072
27209,SAVANNAH,GA,91,316050.0,32.0286,-81.1821,0.0002879291251384275
27300,RENTON,WA,91,105355.0,47.4784,-122.1918,0.0008637463812823312
27391,LEXINGTON,KY,91,321276.0,38.0423,-84.4587,0.00028324555833613465
27482,PUEBLO,CO,90,120380.0,38.2701,-104.6114,0.0007476324970925403
27572,HUNTSVILLE,AL,90,349482.0,34.6981,-86.6412,0.00025752399265198205
27662,LAKEWOOD,CO,89,156149.0,39.6977,-105.1172,0.0005699684275915952
27751,ARLINGTON,TX,89,393469.0,32.6998,-97.125,0.00022619316896629722
27840,EDMONDS,WA,89,42705.0,47.8115,-122.3533,0.002084065097763728
27929,NEW ORLEANS,LA,89,932759.0,30.0687,-89.9288,9.541585768671221e-05
28018,MOUNT VERNON,IN,89,6480.0,37.9364,-87.8958,0.013734567901234567
28107,MARIETTA,GA,89,61387.0,33.9533,-84.5422,0.0014498183654519687
28284,SURPRISE,AZ,88,145591.0,33.6815,-112.4515,0.0006044329663234678
28372,BIRMINGHAM,AL,88,782111.0,33.5279,-86.7971,0.00011251599836851803
28460,SANTA CRUZ,CA,87,167835.0,36.9789,-122.0346,0.0005183662525694879
28547,ESCONDIDO,CA,87,151114.0,33.1348,-117.0723,0.0005757242876239131
28634,KENT,WA,86,135169.0,47.3887,-122.2128,0.0006362405581161361
28720,NEWBURGH,IN,86,3350.0,37.9494,-87.4053,0.025671641791044777
28806,BRADENTON,FL,86,55795.0,27.4901,-82.5757,0.0015413567523971682
28892,READING,PA,86,272712.0,40.34,-75.9267,0.0003153509929889407
28978,LAKE HAVASU CITY,AZ,85,57294.0,34.5006,-114.3113,0.001483575941634377
29063,FAYETTEVILLE,NC,85,328804.0,35.085,-78.9772,0.00025851267016216347
29233,ALBANY,NY,85,590694.0,42.6664,-73.7987,0.00014389853291213385
29318,BEND,OR,85,111774.0,44.0563,-121.3095,0.0007604630772809419
29403,LITTLE ROCK,AR,85,459409.0,34.7256,-92.3577,0.00018502031958450967
29488,NAMPA,ID,85,193935.0,43.5844,-116.5638,0.00043829118003454765
29573,BOZEMAN,MT,84,65279.0,45.6833,-111.0558,0.0012867844176534568
29657,CEDAR RAPIDS,IA,84,191104.0,41.9662,-91.6783,0.00043955123911587407
29741,FAIRBANKS,AK,83,70817.0,64.8353,-147.6533,0.0011720349633562563
29824,BILLINGS,MT,83,131519.0,45.7891,-108.5526,0.0006310875234756955
29907,MISSOULA,MT,83,88780.0,46.8751,-114.0214,0.0009348952466771796
29990,TEMECULA,CA,82,110114.0,33.4928,-117.1315,0.00074468278329731
30072,SAN BERNARDINO,CA,81,221041.0,34.1416,-117.2943,0.0003664478535656281
30153,PEORIA,AZ,81,191292.0,33.7843,-112.2989,0.00042343642180540746
30234,MEDFORD,OR,81,168959.0,42.3372,-122.854,0.00047940624648583384
30315,CHARLESTON,SC,81,706884.0,32.8168,-79.9687,0.0001145874004787207
30396,STOCKTON,CA,81,413637.0,37.9765,-121.3109,0.0001958238745566765
30477,CLARKSVILLE,TN,80,210551.0,36.5692,-87.3413,0.0003799554502234613
30557,CLEARWATER,FL,80,116984.0,27.979,-82.7623,0.0006838542022840731
30637,YUMA,AZ,80,135389.0,32.5995,-114.5491,0.0005908899541321673
30717,CORONA,CA,79,158346.0,33.8616,-117.5649,0.0004989074558245867
30796,SIOUX FALLS,SD,79,204484.0,43.5396,-96.7311,0.00038633829541675634
30875,BOCA RATON,FL,78,97980.0,26.3752,-80.108,0.0007960808328230251
30953,GAINESVILLE,FL,77,220929.0,29.6804,-82.3459,0.0003485282602102938
31030,ALLENTOWN,PA,76,627863.0,40.5961,-75.4756,0.00012104551470623368
31106,MARICOPA,AZ,76,68376.0,33.0408,-112.0011,0.0011115011115011115
31182,PORT ANGELES,WA,76,20007.0,48.1141,-123.4565,0.003798670465337132
31258,MURFREESBORO,TN,76,184763.0,35.849,-86.4121,0.00041133776784312877
31334,COLUMBIA,SC,75,604065.0,34.0378,-80.9036,0.00012415882396761937
31409,HAYWARD,CA,75,160602.0,37.6328,-122.0766,0.0004669929390667613
31484,WENATCHEE,WA,75,76152.0,47.436,-120.3295,0.0009848723605420738
31559,MOUNTLAKE TERRACE,WA,74,21350.0,47.7921,-122.3077,0.0034660421545667447
31633,STATEN ISLAND,NY,74,495747.0,40.5834,-74.1496,0.00014926968796583743
31707,ASHEVILLE,NC,74,294013.0,35.5707,-82.5537,0.00025168955114229644
31781,ROSEVILLE,CA,74,148879.0,38.7703,-121.3196,0.0004970479382585859
31929,LOVELAND,CO,73,76500.0,40.4166,-105.0623,0.0009542483660130719
32002,VERO BEACH,FL,73,16531.0,27.6463,-80.393,0.00441594579880225
32075,KENNEWICK,WA,72,259995.0,46.1978,-119.1732,0.00027692840246927824
32147,ANTIOCH,CA,72,327216.0,37.9787,-121.796,0.000220038139944257
32219,ERIE,PA,72,185556.0,42.1167,-80.0733,0.00038802302269934683
32291,TOPEKA,KS,71,148185.0,39.0346,-95.6955,0.0004791308162094679
32362,CHICO,CA,71,110001.0,39.7578,-121.8161,0.0006454486777392933
32433,MELBOURNE,FL,71,84982.0,28.1086,-80.6627,0.0008354710409263138
32504,FAYETTEVILLE,AR,71,394650.0,36.0714,-94.1661,0.00017990624604079564
32575,KIRKLAND,WA,71,92015.0,47.697,-122.2057,0.0007716133239145792
32646,OXNARD,CA,71,369962.0,34.1964,-119.1815,0.00019191160173206978
32717,BOTHELL,WA,70,47917.0,47.7735,-122.2044,0.0014608594027171985
32787,TALLAHASSEE,FL,70,258696.0,30.4551,-84.2527,0.00027058787147849216
32857,MOBILE,AL,70,320855.0,30.6782,-88.1162,0.0002181670848202459
32927,LAKELAND,FL,70,280346.0,28.0557,-81.9545,0.0002496914527048718
32997,DURHAM,NC,70,399616.0,35.9792,-78.9022,0.00017516816143497757
33067,CARLSBAD,CA,70,114745.0,33.1246,-117.2834,0.0006100483681206152
33137,LYNNWOOD,WA,70,39867.0,47.8284,-122.3033,0.0017558381618882786
